,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
dcdf_incremental_processing,Getting Started with DCDF Data Architecture Incremental Processing Logical Partitions,https://quickstarts.snowflake.com/guide/dcdf_incremental_processing/index.html,melindawebster,Getting Started with DCDF Data Architecture Incremental Processing/Logical Partitions,architecture-patterns,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Feb 16, 2023","Feb 16, 2023",iamontheinet
getting_started_with_python,Getting Started with Python,https://quickstarts.snowflake.com/guide/getting_started_with_python/index.html,N/A,Getting Started with Python,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Feb 25, 2023",jdanielmyers
resource_optimization_setup,Resource Optimization Setup Configuration,https://quickstarts.snowflake.com/guide/resource_optimization_setup/index.html,Matt Meredith,This guide can be used to help customers setup and run queries pertaining to specific setup & configuration items that might be causing over-consumption.,resource-optimization,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Feb 25, 2023",jdanielmyers
resource_optimization_usage_monitoring,Resource Optimization Usage Monitoring,https://quickstarts.snowflake.com/guide/resource_optimization_usage_monitoring/index.html,Matt Meredith,This guide can be used to help customers setup and run queries pertaining to monitoring usage that might be causing over-consumption.,resource-optimization,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Feb 25, 2023",jdanielmyers
sample,Snowflake Guide Template,https://quickstarts.snowflake.com/guide/sample/index.html,Snowflake,This is a sample Snowflake Guide,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,,,,,,,,,,,,,,,,,,,,Hidden,"Mar 22, 2021","Feb 25, 2023",jdanielmyers
devops_dcm_schemachange_azure_devops,DevOps Database Change Management with schemachange and Azure DevOps,https://quickstarts.snowflake.com/guide/devops_dcm_schemachange_azure_devops/index.html,Jeremiah Hansen,This guide will provide step-by-step details for getting started with DevOps on Snowflake by leveraging schemachange and Azure DevOps,devops,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Apr 9, 2021","Feb 25, 2023",jdanielmyers
devops_dcm_schemachange_github,DevOps Database Change Management with schemachange and GitHub,https://quickstarts.snowflake.com/guide/devops_dcm_schemachange_github/index.html,Jeremiah Hansen,This guide will provide step-by-step details for getting started with DevOps on Snowflake by leveraging schemachange and GitHub,devops,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Apr 11, 2021","Feb 25, 2023",jdanielmyers
getting_started_with_snowpark_scala,Getting Started With Snowpark Scala,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_scala/index.html,N/A,This guide provides the basic instructions for setting up a simple example using Snowpark.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,DE - Snowpark DE,snowflake-site:taxonomy/snowflake-feature/snowpark,,,,,,,,,,Published,"Jun 15, 2021","Feb 25, 2023",jdanielmyers
devops_dcm_schemachange_jenkins,DevOps Database Change Management with schemachange and Jenkins,https://quickstarts.snowflake.com/guide/devops_dcm_schemachange_jenkins/index.html,Adrian Lee,This guide will provide step-by-step details for getting started with DevOps on Snowflake by leveraging schemachange and Jenkins,devops,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Jul 6, 2021","Feb 25, 2023",jdanielmyers
devops_dcm_terraform_github,DevOps Database Change Management with Terraform and GitHub,https://quickstarts.snowflake.com/guide/devops_dcm_terraform_github/index.html,Jeremiah Hansen,This quickstart will provide step-by-step details for getting started with DevOps on Snowflake by leveraging Terraform and GitHub,devops,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Aug 23, 2021","Feb 25, 2023",jdanielmyers
